Date,Open,High,Low,Close,Volume
06/17/2022,"36.10","36.35","35.46","35.64","233,644"
06/16/2022,"37.84","37.84","35.69","35.98","133,384"
06/15/2022,"38.00","38.82","37.92","38.38","186,444"
06/14/2022,"37.30","38.00","37.15","37.91","123,863"
06/13/2022,"38.87","38.87","37.09","37.34","180,458"
06/10/2022,"40.26","40.26","39.11","39.57","155,555"
06/09/2022,"40.66","41.33","40.11","40.92","139,318"
06/08/2022,"41.71","41.88","40.93","41.10","90,929"
06/07/2022,"40.99","41.94","40.99","41.89","70,060"
06/06/2022,"40.93","41.56","40.22","41.37","87,999"
06/03/2022,"41.31","41.33","40.44","40.64","71,402"
06/02/2022,"40.94","41.75","40.90","41.60","76,562"
06/01/2022,"40.70","41.22","40.00","40.87","84,538"
05/31/2022,"40.22","40.77","39.53","40.37","216,078"
05/27/2022,"40.11","40.76","40.05","40.42","93,773"
05/26/2022,"39.57","40.57","39.42","40.05","75,193"
05/25/2022,"38.42","39.74","38.42","39.16","114,906"
05/24/2022,"39.07","39.12","38.00","38.80","89,771"
05/23/2022,"38.74","39.33","38.12","38.71","102,963"
05/20/2022,"38.71","38.84","37.33","38.33","97,774"
05/19/2022,"38.36","39.16","37.78","38.50","117,927"
05/18/2022,"40.14","40.23","38.51","38.68","91,291"
05/17/2022,"39.97","40.83","39.84","40.67","93,392"
05/16/2022,"39.38","40.06","39.18","39.52","207,428"
05/13/2022,"39.90","40.55","39.49","39.52","74,682"
05/12/2022,"39.11","40.00","38.61","39.49","124,365"
05/11/2022,"39.59","40.70","38.90","38.99","212,540"
05/10/2022,"40.23","40.97","39.15","39.29","263,363"
05/09/2022,"40.67","40.80","39.50","40.07","171,351"
05/06/2022,"41.33","41.53","40.22","41.30","112,366"
05/05/2022,"42.81","42.95","40.88","41.49","85,554"
05/04/2022,"42.14","43.57","41.58","43.34","139,876"
05/03/2022,"41.98","42.04","41.07","41.57","139,233"
05/02/2022,"43.05","44.05","41.32","42.15","140,140"
04/29/2022,"44.32","44.60","42.37","42.89","193,077"
04/28/2022,"49.63","49.63","44.36","44.87","283,798"
04/27/2022,"48.53","49.11","48.32","48.62","114,406"
04/26/2022,"49.44","50.42","48.31","48.48","80,430"
04/25/2022,"49.05","49.79","48.35","49.73","120,405"
04/22/2022,"52.02","52.07","49.41","49.59","262,606"
04/21/2022,"53.28","53.68","52.02","52.27","57,599"
04/20/2022,"53.44","53.95","52.71","52.99","82,334"
